year,school,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2014,Virginia Military,3089,1088,2441,313,962,600,842,472,920,1392,491,254,218,371,661
2014,UCLA,3003,1073,2195,229,602,628,839,341,923,1264,636,341,110,379,652
2014,Louisville,2998,1051,2232,288,783,608,920,486,876,1362,568,370,173,391,723
2014,Louisiana Tech,2998,1034,2284,286,868,644,948,455,949,1404,582,339,188,432,706
2014,Kentucky,2992,1004,2213,203,611,781,1146,550,1006,1556,446,189,236,481,728
2014,Iowa State,2989,1062,2239,301,840,564,814,354,992,1346,662,214,106,381,622
2014,Brigham Young,2931,1012,2186,177,499,730,1055,433,948,1381,544,251,103,395,690
2014,Belmont,2876,983,1973,323,823,587,794,297,792,1089,571,248,88,463,735
2014,Connecticut,2873,971,2162,287,741,644,829,359,965,1324,488,281,230,457,717
2014,Michigan State,2870,1024,2158,307,783,515,728,388,969,1357,637,259,174,439,719
2014,Baylor,2843,959,2108,280,725,645,949,489,903,1392,563,197,202,440,647
2014,Fresno State,2837,950,2170,291,815,646,884,335,929,1264,470,253,177,392,747
2014,Mercer,2836,982,2059,290,755,582,791,382,908,1290,585,211,147,423,665
2014,Louisiana,2835,988,2127,246,670,613,913,461,835,1296,472,250,144,469,730
2014,Wisconsin,2793,927,2017,297,789,642,861,317,906,1223,468,182,127,309,572
2014,Oregon,2783,928,1977,259,666,668,865,331,785,1116,492,263,113,391,725
2014,Delaware,2782,936,2108,252,727,658,925,367,850,1217,377,208,123,334,659
2014,Fort Wayne,2774,975,1979,285,726,539,813,350,817,1167,524,245,90,440,602
2014,New Mexico State,2772,936,1918,194,523,706,1028,408,888,1296,473,169,224,457,614
2014,Arizona,2769,996,2121,204,561,573,871,430,969,1399,574,223,173,388,630
2014,Kansas,2764,955,1937,189,556,665,935,390,908,1298,523,204,196,466,731
2014,Gonzaga,2761,972,1963,255,643,562,793,325,914,1239,525,235,142,419,660
2014,Iona,2760,947,1943,338,853,528,739,274,775,1049,575,219,122,350,583
