year,school,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2011,Georgia,2267,823,1823,156,456,465,667,356,783,1139,494,211,162,435,540
2011,Milwaukee,2266,755,1752,250,710,506,773,316,713,1029,422,162,73,450,581
2011,Appalachian State,2265,790,1738,196,582,489,694,295,703,997,327,179,89,396,541
2011,Loyola Marymount,2265,807,1868,149,463,502,723,372,761,1133,436,216,130,448,605
2011,Tennessee-Martin,2264,777,1836,181,555,529,715,330,693,1022,362,221,87,492,672
2011,Southern Methodist,2262,788,1627,277,705,409,551,202,704,905,488,217,107,474,571
2011,Georgetown,2258,809,1703,223,631,417,568,283,725,1008,481,193,139,421,603
2011,Tulsa,2255,753,1717,214,613,535,763,323,772,1095,365,142,118,437,635
2011,Texas A&M,2254,758,1719,181,534,557,799,370,750,1120,444,215,51,421,600
2011,Indiana State,2253,770,1792,235,649,480,676,315,789,1104,432,211,145,470,684
2011,USC,2252,813,1832,204,577,422,648,316,767,1083,402,200,104,380,587
2011,Nevada,2245,753,1782,210,606,529,771,360,748,1108,355,154,117,453,653
2011,Weber State,2243,766,1707,256,627,455,602,260,771,1030,401,177,91,406,635
2011,Western Kentucky,2242,809,1845,179,573,445,693,394,741,1134,391,186,124,469,582
2011,Bethune-Cookman,2241,796,1814,140,443,509,719,325,687,1012,393,244,90,404,652
2011,Norfolk State,2238,782,1791,176,575,498,735,333,745,1078,412,204,181,500,694
2011,Lafayette,2237,754,1757,247,705,482,633,259,700,958,476,195,79,414,649
2011,Cal State Northridge,2232,752,1725,176,542,552,820,332,710,1041,407,208,111,500,737
2011,Old Dominion,2231,803,1828,166,505,459,687,482,798,1279,487,234,146,418,504
2011,Fort Wayne,2230,766,1676,240,624,458,593,247,633,879,436,152,90,359,644
2011,Indiana,2226,789,1713,189,546,459,631,321,705,1025,389,200,84,403,681
2011,Texas Christian,2220,821,1882,214,611,364,540,288,742,1029,474,208,74,411,633
2011,Mercer,2220,738,1766,212,642,532,771,317,690,1007,395,243,89,463,689
2011,Princeton,2215,787,1698,193,533,446,605,277,771,1047,427,191,134,382,551
2011,North Florida,2208,758,1741,203,616,489,740,315,705,1020,404,201,106,563,696
2011,UNC Greensboro,2204,780,1820,186,522,458,664,318,657,974,353,202,76,472,659
2011,Hampton,2197,746,1842,213,658,492,759,330,768,1098,387,241,185,401,604
2011,Murray State,2194,737,1605,192,505,528,755,319,658,976,433,243,93,443,597
2011,NC State,2191,799,1818,139,423,454,654,365,713,1077,442,191,138,370,533
2011,Arkansas,2191,756,1734,204,563,475,683,288,698,986,373,225,182,409,561
2011,Florida Atlantic ,2191,784,1765,167,515,456,692,329,675,1004,395,188,156,349,586
2011,Miami (OH),2190,743,1722,249,714,455,625,273,743,1016,372,162,92,457,558
2011,North Dakota State,2188,778,1651,165,432,467,674,303,669,972,396,170,76,378,566
2011,Arkansas State ,2188,745,1724,167,506,531,750,360,732,1092,363,202,98,413,586
2011,Mississippi Valley State,2186,752,1855,204,630,478,719,358,785,1142,393,226,91,535,726
2011,Jacksonville,2176,779,1846,144,463,474,708,396,724,1119,390,274,123,480,684
2011,Coppin State,2175,760,1771,232,639,423,603,312,697,1008,344,219,68,406,536
2011,Idaho,2172,758,1644,202,528,454,629,274,716,990,455,210,98,462,537
2011,Central Connecticut State,2170,766,1758,152,464,486,634,346,696,1042,452,233,121,436,547
2011,UC Santa Barbara,2170,742,1636,227,611,459,610,251,723,973,456,233,134,448,610
2011,Portland State,2169,745,1697,211,600,468,645,283,634,917,390,181,69,370,505
2011,Northern Iowa,2167,728,1702,250,727,461,604,240,705,944,358,171,57,312,582
2011,Mississippi State,2165,739,1701,246,680,441,609,279,752,1030,392,163,128,407,472
2011,Liberty,2165,779,1827,166,516,441,643,410,752,1161,402,214,108,477,613
2011,Ball State,2164,724,1623,149,443,567,818,316,707,1023,436,193,64,408,574
2011,Sam Houston State,2159,768,1746,185,624,438,663,364,758,1121,533,245,69,440,632
2011,St. Bonaventure,2156,744,1632,169,481,499,714,303,730,1032,398,156,106,454,562
2011,Baylor,2154,752,1618,164,474,486,699,328,709,1036,365,217,130,486,524
2011,Green Bay,2154,787,1801,152,477,428,621,362,667,1028,377,198,117,415,650
2011,Loyola (IL),2153,741,1733,200,552,471,639,337,676,1012,383,186,110,389,539
2011,Robert Morris,2153,752,1792,215,601,434,634,349,681,1029,436,241,66,419,718
2011,Wake Forest,2151,735,1736,184,513,497,666,254,721,974,362,170,174,490,594
2011,Montana,2151,766,1657,148,474,471,705,303,750,1052,421,219,153,394,552
2011,Fairfield,2150,777,1795,139,463,457,699,362,759,1120,452,271,118,443,574
2011,Florida International,2150,718,1638,164,500,550,802,310,637,946,320,248,112,437,624
2011,Rice,2148,725,1696,168,513,530,733,312,704,1016,411,217,76,390,601
2011,Oregon State,2147,737,1727,160,527,513,753,343,669,1011,374,293,67,466,574
2011,Vermont,2147,779,1741,151,430,438,648,360,784,1144,395,160,105,419,525
2011,Alabama State,2146,728,1842,165,583,525,870,410,757,1167,404,255,163,538,777
2011,Penn State,2144,767,1748,216,638,394,544,300,693,993,413,151,82,348,529
2011,Harvard,2144,708,1492,205,543,523,646,238,660,897,429,178,136,392,466
2011,Houston Baptist,2140,735,1818,180,537,490,725,325,668,993,362,256,83,506,679
2011,Seattle,2138,758,1907,175,578,447,680,397,685,1081,358,259,60,533,678
2011,Minnesota,2137,753,1659,152,474,479,726,363,754,1117,487,211,169,409,504
2011,UC Davis,2136,744,1619,241,637,407,559,204,671,875,448,196,76,415,586
2011,Hawaii,2132,732,1631,183,517,485,711,300,773,1072,365,169,128,486,601
2011,Southeast Missouri State,2129,734,1687,165,484,496,800,320,720,1040,394,146,120,461,681
2011,Saint Joseph's,2129,745,1795,207,632,432,611,288,702,990,412,168,181,353,531
2011,Chicago State,2128,759,1893,145,491,465,718,324,719,1043,392,206,81,545,762
2011,Nebraska,2124,773,1677,164,522,414,590,268,795,1063,415,208,115,425,550
2011,Wright State,2123,710,1647,217,608,486,650,224,616,840,341,206,35,354,619
2011,Rutgers,2122,783,1778,175,509,381,563,322,675,996,434,252,143,386,631
2011,Evansville,2122,723,1606,147,412,529,746,228,664,891,452,177,59,406,667
2011,South Carolina State,2119,764,1780,178,559,413,612,352,670,1022,385,192,116,508,654
2011,UAB,2119,756,1722,239,696,368,514,309,713,1022,420,164,97,371,513
2011,Bowling Green,2116,803,1857,146,491,365,567,330,692,1021,448,283,105,441,606
2011,Texas-RGV,2114,696,1636,243,630,481,710,275,666,940,380,178,54,464,641
2011,Navy,2113,694,1764,236,802,489,690,233,657,890,387,284,82,468,649
2011,Oklahoma,2111,738,1648,198,587,437,592,237,673,910,400,179,89,430,583
2011,DePaul,2104,766,1800,163,519,409,599,296,577,872,446,231,103,411,614
2011,Siena,2103,762,1841,160,479,419,617,381,718,1099,378,205,116,441,515
2011,Georgia Tech,2102,752,1855,192,643,406,589,359,664,1022,408,297,126,413,637
2011,UMKC,2100,710,1629,232,668,448,677,298,600,898,321,186,78,416,588
2011,Maryland-Eastern Shore,2096,751,1852,164,567,427,654,356,614,969,382,205,52,435,665
2011,Jackson State,2096,722,1719,188,570,466,731,360,672,1032,425,250,102,473,668
2011,Fresno State,2096,743,1740,183,621,427,679,345,705,1050,441,264,115,426,566
2011,Seton Hall,2092,759,1838,187,611,387,576,299,728,1026,422,227,110,373,586
2011,Georgia Southern,2090,745,1662,142,432,459,666,294,618,911,380,274,87,559,701
2011,Maine,2089,726,1576,191,539,446,638,261,678,939,396,169,102,382,532
2011,Iowa,2084,766,1743,146,465,406,601,343,683,1025,423,208,89,441,508
2011,Montana State,2079,716,1730,235,706,412,637,315,650,964,374,179,75,368,560
2011,Utah,2078,734,1724,181,546,429,618,282,760,1041,298,141,160,421,598
2011,Southern Utah,2077,736,1572,97,284,508,716,310,629,938,422,161,136,469,647
2011,Troy,2076,733,1796,255,743,355,536,327,707,1033,395,193,104,410,509
2011,Bradley,2076,748,1751,159,476,421,583,267,728,994,374,201,79,386,580
2011,Air Force,2074,722,1532,212,562,419,593,167,704,870,494,200,83,375,562
2011,Youngstown State,2072,756,1823,235,708,325,533,305,683,988,454,186,148,357,606
2011,Saint Peter's,2069,713,1781,197,572,446,693,350,764,1113,383,260,156,497,662
2011,N.J.I.T.,2065,743,1734,222,610,357,578,305,709,1014,390,180,110,403,629
2011,Northeastern,2064,719,1609,193,508,433,577,264,569,832,427,211,70,376,595
2011,North Carolina Central,2062,722,1605,199,562,419,607,279,614,892,353,234,93,454,618
2011,Morgan State,2061,709,1687,123,416,522,765,376,690,1065,370,194,117,463,624
2011,Houston,2061,726,1579,176,452,433,647,273,673,945,404,169,125,446,605
2011,Stanford,2058,722,1676,198,556,416,632,309,676,984,360,149,106,410,571
2011,Tulane,2057,708,1644,230,631,411,597,280,606,886,400,208,82,356,516
2011,Texas Southern,2056,691,1622,185,614,489,774,301,730,1031,393,258,111,515,596
2011,Texas-Arlington,2055,712,1616,212,607,419,594,292,683,974,362,199,77,502,623
2011,Northern Illinois,2055,713,1694,174,537,455,652,304,717,1021,361,168,73,427,606
2011,Louisiana,2055,715,1639,151,435,474,715,343,693,1035,295,165,126,442,615
2011,Florida A&M,2055,713,1787,194,624,435,718,383,740,1122,298,247,129,515,618
2011,Towson,2053,715,1633,179,503,444,614,268,615,883,341,174,87,352,516
2011,Louisiana Tech,2051,721,1721,193,585,416,642,320,744,1063,331,180,76,530,651
2011,American University,2051,716,1602,188,557,431,602,265,720,984,429,127,86,332,557
2011,William & Mary,2051,701,1584,250,689,399,572,212,743,955,426,136,96,411,524
2011,High Point,2050,705,1711,170,491,470,707,341,661,1002,342,226,88,461,669
2011,Citadel,2049,752,1756,157,487,388,542,328,742,1069,401,151,47,401,529
2011,Eastern Kentucky,2046,707,1582,247,671,385,519,216,598,814,436,187,85,358,560
2011,UC Riverside,2044,745,1756,161,464,393,576,329,685,1014,374,183,119,425,581
2011,South Florida,2044,711,1710,159,524,463,652,372,730,1102,407,162,122,486,631
2011,Tennessee State,2044,676,1578,216,586,476,625,306,617,923,373,197,103,439,558
