year,team,pts,fgm,fga,3pm,3pa,ftm,fta,orb,drb,reb,ast,stl,blk,tov,pf
2023,Toledo,2909,1025,2065,294,740,565,731,305,792,1097,499,230,93,328,550
2023,Gonzaga,2888,1076,2035,256,662,480,685,313,838,1151,546,250,109,342,554
2023,Oral Roberts,2864,1039,2169,367,996,419,540,278,930,1208,503,235,178,311,445
2023,Arizona,2811,999,2014,292,765,521,736,316,942,1258,652,208,109,449,579
2023,Southern Utah,2805,969,2078,277,799,590,809,330,903,1233,442,251,112,435,637
2023,Alabama,2794,944,2115,342,1012,564,777,400,1028,1428,516,206,172,465,632
2023,Furman,2791,978,2023,324,934,511,690,315,837,1152,581,231,109,372,570
2023,UAB,2768,973,2139,250,690,572,780,409,886,1295,489,277,147,418,589
2023,Xavier,2768,1027,2077,257,650,457,640,323,891,1214,655,222,108,422,540
2023,Charleston,2747,941,2146,343,1027,522,704,424,876,1300,469,250,107,404,572
2023,Youngstown State,2721,995,2026,263,715,468,602,309,796,1105,510,232,89,360,533
2023,Marquette,2718,1007,2066,301,864,403,559,275,743,1018,598,320,107,363,553
2023,Southeast Missouri State,2718,931,2134,278,849,578,808,308,870,1178,480,240,113,449,736
2023,Memphis,2713,979,2038,209,587,546,731,313,821,1134,533,296,155,456,625
2023,Chattanooga,2702,924,2041,398,1056,456,639,289,897,1186,536,200,120,399,551
2023,Indiana State,2700,951,1973,322,911,476,618,212,888,1100,541,224,64,391,561
2023,New Mexico,2680,955,1974,189,531,581,781,275,872,1147,452,221,129,367,563
2023,Florida Atlantic ,2679,960,2034,332,893,427,596,330,919,1249,497,231,84,392,539
2023,Colgate,2672,1017,1980,283,694,355,540,247,855,1102,632,237,96,339,427
2023,Utah State,2671,919,1915,321,816,512,670,260,887,1147,573,170,115,404,578
2023,Tennessee-Martin,2658,945,2058,255,771,513,711,313,911,1224,450,249,114,387,603
2023,James Madison,2658,933,2018,263,751,529,748,363,821,1184,443,298,87,425,583
2023,Texas A&M-CC,2653,923,2020,257,698,550,696,352,788,1140,518,289,55,419,629
2023,UMass Lowell,2653,965,1995,236,619,487,662,380,873,1253,486,237,164,459,572
2023,Texas,2647,959,2049,242,716,487,647,307,805,1112,548,274,125,381,599
2023,Fairleigh Dickinson,2646,971,2133,275,795,429,576,360,733,1093,509,273,66,383,647
2023,Wright State,2637,1031,2077,205,574,370,502,275,870,1145,495,207,99,414,514
2023,Grand Canyon,2636,905,1953,314,818,512,716,327,909,1236,439,172,115,410,632
2023,Missouri,2623,936,1978,309,857,442,583,271,663,934,529,341,88,356,598
2023,Marshall,2616,986,2120,264,781,380,548,366,811,1177,561,288,169,368,526
2023,Kent State,2605,935,2059,268,797,467,644,330,802,1132,421,303,134,382,647
2023,Ohio,2602,945,2063,295,791,417,571,374,795,1169,412,221,73,365,585
2023,Iona,2595,957,2078,240,667,441,603,362,796,1158,511,254,188,353,555
2023,San Francisco,2591,883,1976,349,967,476,635,295,820,1115,435,229,85,455,629
2023,Connecticut,2589,911,1981,297,832,470,623,411,820,1231,570,216,161,420,598
2023,Northern Arizona,2581,930,2123,295,815,426,576,320,804,1124,484,185,53,370,649
2023,NC State,2580,958,2117,278,796,386,536,344,809,1153,431,262,151,312,574
2023,Louisiana,2575,928,1917,233,617,486,711,334,811,1145,477,235,102,392,558
2023,Brigham Young,2568,913,2006,276,810,466,650,331,852,1183,501,249,133,470,659
2023,Iowa,2567,913,2009,258,752,483,654,351,757,1108,530,212,110,313,470
2023,Howard,2566,908,1971,272,722,478,669,357,780,1137,505,244,108,545,600
2023,Portland,2566,836,1835,317,845,577,774,247,783,1030,488,164,75,412,579
2023,Queens University,2564,878,1977,305,873,503,698,341,838,1179,456,204,72,401,531
2023,Drake,2561,930,1977,271,727,430,559,253,905,1158,463,183,89,342,503
2023,Kennesaw State,2559,904,1957,281,764,470,710,286,832,1118,490,271,95,415,610
2023,UC Irvine,2559,945,2002,243,633,426,592,288,895,1183,505,236,82,411,644
2023,Liberty,2556,917,1924,358,954,364,496,253,836,1089,555,219,76,342,503
2023,Eastern Kentucky,2553,958,2202,283,839,354,538,408,837,1245,501,267,160,394,530
2023,St. John's,2552,970,2159,193,584,419,599,399,868,1267,500,273,123,450,535
