year,team0,team1,seed,wins,losses,winp,cwins,closses,cwinp,pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg
2022,Gonzaga,Georgia State,-15,7,-6,0.21899999999999997,4,-4,0.28600000000000003,741,23.02799999999999,323,199,0.121,41,38,0.03999999999999998,54,81,-0.007000000000000006,-77,-3.112,313,9.946999999999996,236,6.835000000000001,187,5.9670000000000005,-50,-2.0379999999999994,53,1.6669999999999998,30,0.6170000000000009,31,0.495000000000001
2022,Boise State,Memphis,-1,4,-1,0.05500000000000005,2,-2,0.11099999999999999,-91,-9.735,-40,15,-0.023999999999999966,52,165,-0.009000000000000008,-63,-48,-0.04399999999999993,-47,-2.484,8,-2.132999999999999,-39,-4.616999999999997,-123,-5.103999999999999,-67,-2.7590000000000003,-60,-2.277,-104,-4.555999999999999,-95,-4.561
2022,Connecticut,New Mexico State,-7,-5,5,-0.15600000000000003,0,2,-0.08099999999999996,5,0.1560000000000059,11,108,-0.019000000000000017,-23,-115,0.021999999999999964,6,-36,0.051000000000000045,68,2.125,-53,-1.6559999999999988,15,0.4690000000000012,-5,-0.15600000000000058,26,0.8129999999999997,74,2.3129999999999997,-90,-2.8130000000000006,16,0.5
2022,Arkansas,Vermont,-9,-2,2,-0.05999999999999994,-4,4,-0.22199999999999998,266,8.061000000000007,36,339,-0.057999999999999996,-65,-50,-0.061,259,329,0.018000000000000016,149,4.515000000000001,56,1.6969999999999992,205,6.212000000000003,-3,-0.0909999999999993,108,3.2730000000000006,69,2.091,126,3.8179999999999996,149,4.514999999999999
2022,Alabama,Notre Dame,-5,-6,6,-0.18799999999999994,-6,4,-0.25,83,2.593999999999994,-2,99,-0.02300000000000002,-13,153,-0.07200000000000001,100,155,-0.025000000000000022,184,5.750000000000001,-75,-2.344000000000001,109,3.405999999999999,-7,-0.21899999999999942,51,1.593,90,2.813,116,3.625,163,5.092999999999998
2022,Texas Tech,Montana State,-11,-2,2,-0.05900000000000005,-4,2,-0.133,-12,-0.35299999999999443,46,103,-0.0010000000000000009,-43,-29,-0.046999999999999986,-61,-27,-0.05600000000000005,71,2.088000000000001,21,0.6170000000000009,92,2.705999999999996,44,1.2940000000000005,113,3.324,2,0.05899999999999972,48,1.4109999999999996,-41,-1.2059999999999995
2022,Michigan State,Davidson,-3,-5,6,-0.17099999999999993,-4,6,-0.2829999999999999,34,-1.2879999999999967,31,172,-0.024999999999999967,-39,-84,-0.009000000000000008,11,18,-0.0040000000000000036,98,2.668000000000001,44,0.4980000000000011,142,3.1670000000000016,67,1.5269999999999992,48,1.271,93,2.657,127,3.439,105,2.6389999999999993
2022,Duke,Cal State Fullerton,-13,6,-3,0.11699999999999999,4,-1,0.09400000000000008,883,19.598,366,576,0.045999999999999985,132,306,0.03699999999999998,19,50,-0.028000000000000025,90,1.8049999999999997,311,7.055,401,8.86,282,7.269000000000002,16,-0.19200000000000017,156,4.409,12,-0.7509999999999994,26,-0.6760000000000002
2022,Baylor,Norfolk State,-15,1,1,-0.019000000000000017,2,2,-0.07899999999999996,317,5.11099999999999,148,317,0.0010000000000000009,58,170,0.0,-37,-51,-0.0020000000000000018,112,2.862,-53,-3.4520000000000017,59,-0.5889999999999986,156,4.070999999999998,91,2.411999999999999,6,-0.04400000000000004,-14,-1.3439999999999994,1,-1.1080000000000005
2022,North Carolina,Marquette,-1,8,-7,0.23099999999999998,4,-3,0.17100000000000004,669,18.519000000000005,215,494,-0.0030000000000000027,53,116,0.014000000000000012,186,228,0.02300000000000002,187,5.613999999999999,291,8.244000000000003,478,13.857999999999997,71,1.703999999999997,-48,-1.7510000000000003,-13,-0.5730000000000004,59,1.4459999999999997,8,-0.3099999999999987
2022,Saint Mary's,Indiana,-7,4,-5,0.14500000000000002,3,-8,0.35000000000000003,-108,-1.0289999999999964,-15,-73,0.010000000000000009,40,77,0.019999999999999962,-118,-207,0.05800000000000005,-24,-0.4740000000000002,-86,-1.8219999999999992,-110,-2.2959999999999994,-54,-1.2039999999999988,38,1.3740000000000006,-83,-2.4330000000000003,-34,-0.6699999999999999,-80,-1.9239999999999995
2022,UCLA,Akron,-9,0,-1,0.02300000000000002,1,-1,0.050000000000000044,237,9.680999999999997,140,347,-0.009000000000000008,-28,-78,0.0,-15,-69,0.052000000000000046,53,1.9580000000000002,25,1.5730000000000004,78,3.530000000000001,89,3.1560000000000006,44,1.564,5,0.2609999999999997,-76,-2.0069999999999997,18,1.0700000000000003
2022,Texas,Virginia Tech,-5,-2,-1,-0.0010000000000000009,-1,-1,0.006000000000000005,-210,0.26500000000000057,-101,-95,-0.02999999999999997,-94,-133,-0.062,86,118,-0.0050000000000000044,50,2.324,-74,-0.07900000000000063,-24,2.245000000000001,-65,-0.652000000000001,69,2.670000000000001,1,0.33699999999999974,-1,1.0170000000000012,73,3.7140000000000004
2022,Purdue,Yale,-11,7,-3,0.132,3,3,-0.08600000000000008,710,12.152999999999992,231,294,0.04799999999999999,103,173,0.055999999999999994,145,223,-0.02400000000000002,125,2.648999999999999,173,1.873000000000001,298,4.521000000000001,230,5.3089999999999975,-21,-1.3739999999999997,30,0.4980000000000002,36,-0.5090000000000003,-8,-2.365000000000002
