year,team0,team1,seed,wins,losses,winp,cwins,closses,cwinp,pts,ptspg,fgm,fga,fgp,3pm,3pa,3pp,ftm,fta,ftp,orb,orbpg,drb,drbpg,reb,rebpg,ast,astpg,stl,stlpg,blk,blkpg,tov,tovpg,pf,pfpg,result
2003,Alabama,Indiana,3,-3,-1,-0.018000000000000016,-1,1,-0.062,-317.0,-1.2450000000000045,-77.0,-156.0,-0.007000000000000006,-59.0,-137.0,-0.020999999999999963,-103.0,-138.0,-0.008000000000000007,23.0,2.2590000000000003,-164.0,-2.344000000000001,-140.0,-0.054000000000002046,-103.0,-1.705,43.0,2.1690000000000005,-63.0,-1.487,7.0,1.8520000000000003,-77.0,-0.16900000000000048,1
2003,Pittsburgh,Wagner,-13,4,-5,0.15599999999999992,-1,-1,0.03400000000000003,-104.0,-0.9480000000000075,-38.0,-183.0,0.030000000000000027,-28.0,-16.0,-0.040000000000000036,-2.0,85.0,-0.09399999999999997,-46.0,-1.1550000000000011,37.0,1.9510000000000005,-7.0,0.8610000000000042,31.0,1.5700000000000003,10.0,0.5830000000000002,36.0,1.2939999999999996,-11.0,0.12299999999999933,-5.0,0.4190000000000005,0
2003,Wagner,Pittsburgh,13,-4,5,-0.15599999999999992,1,1,-0.03400000000000003,104.0,0.9480000000000075,38.0,183.0,-0.030000000000000027,28.0,16.0,0.040000000000000036,2.0,-85.0,0.09399999999999997,46.0,1.1550000000000011,-37.0,-1.9510000000000005,7.0,-0.8610000000000042,-31.0,-1.5700000000000003,-10.0,-0.5830000000000002,-36.0,-1.2939999999999996,11.0,-0.12299999999999933,5.0,-0.4190000000000005,1
2003,Kentucky,Utah,-8,2,-1,0.03799999999999992,5,-3,0.21399999999999997,404.0,10.531000000000006,191.0,298.0,0.02899999999999997,-34.0,-52.0,-0.027000000000000024,56.0,79.0,0.0010000000000000009,112.0,3.2300000000000004,36.0,0.4349999999999987,150.0,3.728999999999999,108.0,2.961000000000002,99.0,2.944,48.0,1.3819999999999997,63.0,1.581999999999999,-61.0,-2.529,0
2003,Utah,Kentucky,8,-2,1,-0.03799999999999992,-5,3,-0.21399999999999997,-404.0,-10.531000000000006,-191.0,-298.0,-0.02899999999999997,34.0,52.0,0.027000000000000024,-56.0,-79.0,-0.0010000000000000009,-112.0,-3.2300000000000004,-36.0,-0.4349999999999987,-150.0,-3.728999999999999,-108.0,-2.961000000000002,-99.0,-2.944,-48.0,-1.3819999999999997,-63.0,-1.581999999999999,61.0,2.529,1
2003,Wisconsin,Tulsa,-8,-1,-1,0.017000000000000015,0,-2,0.08299999999999996,-228.0,-2.7920000000000016,-92.0,-195.0,-0.0010000000000000009,-25.0,-64.0,-0.0040000000000000036,-19.0,-37.0,0.014000000000000012,-44.0,-0.8120000000000012,-165.0,-3.9350000000000023,-210.0,-4.779,-73.0,-1.4979999999999993,-32.0,-0.5810000000000004,-73.0,-2.172,-140.0,-3.8419999999999987,-106.0,-2.4619999999999997,0
2003,Tulsa,Wisconsin,8,1,1,-0.017000000000000015,0,2,-0.08299999999999996,228.0,2.7920000000000016,92.0,195.0,0.0010000000000000009,25.0,64.0,0.0040000000000000036,19.0,37.0,-0.014000000000000012,44.0,0.8120000000000012,165.0,3.9350000000000023,210.0,4.779,73.0,1.4979999999999993,32.0,0.5810000000000004,73.0,2.172,140.0,3.8419999999999987,106.0,2.4619999999999997,1
2003,Marquette,Missouri,-3,4,-7,0.21599999999999997,5,-5,0.31299999999999994,-28.0,6.683000000000007,-48.0,-259.0,0.04199999999999998,-70.0,-223.0,0.02200000000000002,138.0,98.0,0.11099999999999999,-53.0,-0.5449999999999999,-111.0,-1.3590000000000018,-164.0,-1.9029999999999987,31.0,2.5790000000000006,-9.0,0.29000000000000004,-31.0,-0.6440000000000006,-46.0,-0.20500000000000007,-2.0,1.7360000000000007,0
2003,Missouri,Marquette,3,-4,7,-0.21599999999999997,-5,5,-0.31299999999999994,28.0,-6.683000000000007,48.0,259.0,-0.04199999999999998,70.0,223.0,-0.02200000000000002,-138.0,-98.0,-0.11099999999999999,53.0,0.5449999999999999,111.0,1.3590000000000018,164.0,1.9029999999999987,-31.0,-2.5790000000000006,9.0,-0.29000000000000004,31.0,0.6440000000000006,46.0,0.20500000000000007,2.0,-1.7360000000000007,1
2003,Pittsburgh,Indiana,-5,5,-7,0.20799999999999996,5,-5,0.31200000000000006,-19.0,4.068999999999988,56.0,-152.0,0.07500000000000001,-48.0,-149.0,0.006000000000000005,-82.0,-41.0,-0.07799999999999996,-16.0,0.1379999999999999,-83.0,-1.1270000000000024,-97.0,-0.9249999999999972,88.0,3.855000000000002,100.0,3.6290000000000004,-48.0,-1.2440000000000007,86.0,3.6140000000000008,-39.0,-0.09500000000000242,0
