year,team,seed,wins,losses,cwins,closses
2006,Connecticut,1,27,3,14,2
2006,Villanova,1,25,4,14,2
2006,Duke,1,30,3,14,2
2006,Memphis,1,30,3,13,1
2006,Tennessee,2,21,7,12,4
2006,Ohio State,2,25,5,12,4
2006,Texas,2,27,6,13,3
2006,UCLA,2,27,6,14,4
2006,North Carolina,3,22,7,12,4
2006,Florida,3,27,6,10,6
2006,Iowa,3,25,8,11,5
2006,Gonzaga,3,27,3,14,0
2006,Illinois,4,25,6,11,5
2006,Boston College,4,26,7,11,5
2006,LSU,4,23,8,14,2
2006,Kansas,4,25,7,13,3
2006,Washington,5,24,6,13,5
2006,Nevada,5,27,5,13,3
2006,Syracuse,5,23,11,7,9
2006,Pittsburgh,5,24,7,10,6
2006,Michigan State,6,22,11,8,8
2006,Oklahoma,6,20,8,11,5
2006,West Virginia,6,20,10,11,5
2006,Indiana,6,18,11,9,7
2006,Wichita State,7,24,8,14,4
2006,Georgetown,7,21,9,10,6
2006,California,7,20,10,12,6
2006,Marquette,7,20,10,10,6
2006,Kentucky,8,21,12,9,7
2006,Arizona,8,19,12,11,7
2006,George Washington,8,26,2,16,0
2006,Arkansas,8,22,9,10,6
2006,UAB,9,24,6,12,2
2006,Wisconsin,9,19,11,9,7
2006,UNC Wilmington,9,25,7,15,3
2006,Bucknell,9,26,4,14,0
2006,Seton Hall,10,18,11,9,7
2006,Northern Iowa,10,23,9,11,7
2006,NC State,10,21,9,10,6
2006,Alabama,10,17,12,10,6
2006,George Mason,11,23,7,15,3
2006,Milwaukee,11,21,8,12,4
2006,Southern Illinois,11,22,10,12,6
2006,San Diego State,11,24,8,13,3
2006,Utah State,12,23,8,11,5
2006,Montana,12,23,6,10,4
2006,Texas A&M,12,21,8,10,6
2006,Kent State,12,25,8,15,3
2006,Air Force,13,24,6,12,4
2006,Pacific,13,24,7,12,2
2006,Iona,13,23,7,13,5
2006,Bradley,13,20,10,11,7
2006,Murray State,14,24,6,17,3
2006,South Alabama,14,24,6,12,3
2006,Northwestern State,14,25,6,15,1
2006,Xavier,14,21,10,8,8
2006,Winthrop,15,23,7,13,3
2006,Davidson,15,20,10,10,5
2006,Pennsylvania ,15,20,8,12,2
2006,Belmont,15,20,10,15,5
2006,Albany,16,21,10,13,3
2006,Monmouth,16,18,14,12,6
2006,Hampton,16,16,15,10,8
2006,Southern,16,20,12,15,3
2006,Oral Roberts,16,21,11,13,3
