year,team,seed,wins,losses,cwins,closses
2016,Kansas,1,30,4,15,3
2016,North Carolina,1,28,6,14,4
2016,Oregon,1,28,6,14,4
2016,Virginia,1,26,7,13,5
2016,Villanova,2,29,5,16,2
2016,Michigan State,2,29,5,13,5
2016,Oklahoma,2,25,7,12,6
2016,Xavier,2,27,5,14,4
2016,Texas A&M,3,26,8,13,5
2016,Miami (FL),3,25,7,13,5
2016,Utah,3,26,8,13,5
2016,West Virginia,3,26,8,13,5
2016,Kentucky,4,26,8,13,5
2016,Duke,4,23,10,11,7
2016,California,4,23,10,12,6
2016,Iowa State,4,21,11,10,8
2016,Indiana,5,25,7,15,3
2016,Maryland,5,25,8,12,6
2016,Purdue,5,26,8,12,6
2016,Baylor,5,22,11,10,8
2016,Arizona,6,25,8,12,6
2016,Seton Hall,6,25,8,12,6
2016,Notre Dame,6,21,11,11,7
2016,Texas,6,20,12,11,7
2016,Dayton,7,25,7,14,4
2016,Iowa,7,21,10,12,6
2016,Wisconsin,7,20,12,12,6
2016,Oregon State,7,19,12,9,9
2016,Saint Joseph's,8,27,7,13,5
2016,Colorado,8,22,11,10,8
2016,USC,8,21,12,9,9
2016,Texas Tech,8,19,12,9,9
2016,Connecticut,9,24,10,11,7
2016,Providence,9,23,10,10,8
2016,Butler,9,21,10,10,8
2016,Cincinnati,9,22,10,12,6
2016,VCU,10,24,10,14,4
2016,Syracuse,10,19,13,9,9
2016,Pittsburgh,10,21,11,9,9
2016,Temple,10,21,11,14,4
2016,Gonzaga,11,26,7,15,3
2016,Wichita State,11,24,8,16,2
2016,Michigan,11,22,12,10,8
2016,Northern Iowa,11,22,12,11,7
2016,Tulsa,11,20,11,12,6
2016,Vanderbilt,11,19,13,11,7
2016,Little Rock,12,29,4,17,3
2016,Chattanooga,12,29,5,15,3
2016,South Dakota State,12,26,7,12,4
2016,Yale,12,22,6,13,1
2016,Hawaii,13,27,5,13,3
2016,Stony Brook,13,26,6,14,2
2016,UNC Wilmington,13,25,7,14,4
2016,Iona,13,22,10,16,4
2016,Stephen F. Austin,14,27,5,18,0
2016,Fresno State,14,25,9,13,5
2016,Green Bay,14,23,12,11,7
2016,Buffalo,14,20,14,10,8
2016,Weber State,15,26,8,15,3
2016,Middle Tennessee State,15,24,9,13,5
2016,Cal State Bakersfield,15,24,8,11,3
2016,UNC Asheville,15,22,11,12,6
2016,Southern,16,22,12,11,7
2016,Florida Gulf Coast,16,20,13,8,6
2016,Hampton,16,21,10,13,3
2016,Austin Peay,16,18,17,7,9
2016,Fairleigh Dickinson,16,18,14,11,7
2016,Holy Cross,16,14,19,5,13
