year,winner,loser
2003,UNC Asheville,Texas Southern
2003,Kentucky,IUPUI
2003,Utah,Oregon
2003,Wisconsin,Weber State
2003,Tulsa,Dayton
2003,Missouri,Southern Illinois
2003,Marquette,Holy Cross
2003,Indiana,Alabama
2003,Pittsburgh,Wagner
2003,Kentucky,Utah
2003,Wisconsin,Tulsa
2003,Marquette,Missouri
2003,Pittsburgh,Indiana
2003,Kentucky,Wisconsin
2003,Marquette,Pittsburgh
2003,Marquette,Kentucky
2003,Arizona,Vermont
2003,Gonzaga,Cincinnati
2003,Notre Dame,Milwaukee
2003,Illinois,Western Kentucky
2003,Central Michigan,Creighton
2003,Duke,Colorado State
2003,Arizona State,Memphis
2003,Kansas,Utah State
2003,Arizona,Gonzaga
2003,Notre Dame,Illinois
2003,Duke,Central Michigan
2003,Kansas,Arizona State
2003,Arizona,Notre Dame
2003,Kansas,Duke
2003,Kansas,Arizona
2003,Oklahoma,South Carolina State
2003,California,NC State
2003,Butler,Mississippi State
2003,Louisville,Austin Peay
2003,Oklahoma State,Pennsylvania 
2003,Syracuse,Manhattan
2003,Auburn,Saint Joseph's
2003,Wake Forest,East Tennessee State
2003,Oklahoma,California
2003,Butler,Louisville
2003,Syracuse,Oklahoma State
2003,Auburn,Wake Forest
2003,Oklahoma,Butler
2003,Syracuse,Auburn
2003,Syracuse,Oklahoma
2003,Texas,UNC Asheville
2003,Purdue,LSU
2003,Connecticut,Brigham Young
2003,Stanford,San Diego
2003,Maryland,UNC Wilmington
2003,Xavier,Troy
2003,Michigan State,Colorado
2003,Florida,Sam Houston State
2003,Texas,Purdue
2003,Connecticut,Stanford
2003,Maryland,Xavier
2003,Michigan State,Florida
2003,Texas,Connecticut
2003,Michigan State,Maryland
2003,Texas,Michigan State
2003,Syracuse,Texas
2003,Kansas,Marquette
2003,Syracuse,Kansas
