year,winner,loser
2009,Morehead State,Alabama State
2009,Louisville,Morehead State
2009,Siena,Ohio State
2009,Arizona,Utah
2009,Cleveland State,Wake Forest
2009,Dayton,West Virginia
2009,Kansas,North Dakota State
2009,USC,Boston College
2009,Michigan State,Robert Morris
2009,Louisville,Siena
2009,Arizona,Cleveland State
2009,Kansas,Dayton
2009,Michigan State,USC
2009,Louisville,Arizona
2009,Michigan State,Kansas
2009,Michigan State,Louisville
2009,Connecticut,Chattanooga
2009,Texas A&M,Brigham Young
2009,Purdue,Northern Iowa
2009,Washington,Mississippi State
2009,Marquette,Utah State
2009,Missouri,Cornell
2009,Maryland,California
2009,Memphis,Cal State Northridge
2009,Connecticut,Texas A&M
2009,Purdue,Washington
2009,Missouri,Marquette
2009,Memphis,Maryland
2009,Connecticut,Purdue
2009,Missouri,Memphis
2009,Connecticut,Missouri
2009,Pittsburgh,East Tennessee State
2009,Oklahoma State,Tennessee
2009,Wisconsin,Florida State
2009,Xavier,Portland State
2009,UCLA,VCU
2009,Villanova,American University
2009,Texas,Minnesota
2009,Duke,Binghamton
2009,Pittsburgh,Oklahoma State
2009,Xavier,Wisconsin
2009,Villanova,UCLA
2009,Duke,Texas
2009,Pittsburgh,Xavier
2009,Villanova,Duke
2009,Villanova,Pittsburgh
2009,North Carolina,Radford
2009,LSU,Butler
2009,Western Kentucky,Illinois
2009,Gonzaga,Akron
2009,Arizona State,Temple
2009,Syracuse,Stephen F. Austin
2009,Michigan,Clemson
2009,Oklahoma,Morgan State
2009,North Carolina,LSU
2009,Gonzaga,Western Kentucky
2009,Syracuse,Arizona State
2009,Oklahoma,Michigan
2009,North Carolina,Gonzaga
2009,Oklahoma,Syracuse
2009,North Carolina,Oklahoma
2009,Michigan State,Connecticut
2009,North Carolina,Villanova
2009,North Carolina,Michigan State
