year,winner,loser,region,round
2003,UNC Asheville,Texas Southern,none,0
2003,Kentucky,IUPUI,Midwest Regional,1
2003,Utah,Oregon,Midwest Regional,1
2003,Wisconsin,Weber State,Midwest Regional,1
2003,Tulsa,Dayton,Midwest Regional,1
2003,Missouri,Southern Illinois,Midwest Regional,1
2003,Marquette,Holy Cross,Midwest Regional,1
2003,Indiana,Alabama,Midwest Regional,1
2003,Pittsburgh,Wagner,Midwest Regional,1
2003,Kentucky,Utah,Midwest Regional,2
2003,Wisconsin,Tulsa,Midwest Regional,2
2003,Marquette,Missouri,Midwest Regional,2
2003,Pittsburgh,Indiana,Midwest Regional,2
2003,Kentucky,Wisconsin,Midwest Regional,3
2003,Marquette,Pittsburgh,Midwest Regional,3
2003,Marquette,Kentucky,Midwest Regional,4
2003,Arizona,Vermont,West Regional,1
2003,Gonzaga,Cincinnati,West Regional,1
2003,Notre Dame,Milwaukee,West Regional,1
2003,Illinois,Western Kentucky,West Regional,1
2003,Central Michigan,Creighton,West Regional,1
2003,Duke,Colorado State,West Regional,1
2003,Arizona State,Memphis,West Regional,1
2003,Kansas,Utah State,West Regional,1
2003,Arizona,Gonzaga,West Regional,2
2003,Notre Dame,Illinois,West Regional,2
2003,Duke,Central Michigan,West Regional,2
2003,Kansas,Arizona State,West Regional,2
2003,Arizona,Notre Dame,West Regional,3
2003,Kansas,Duke,West Regional,3
2003,Kansas,Arizona,West Regional,4
2003,Oklahoma,South Carolina State,East Regional,1
2003,California,NC State,East Regional,1
2003,Butler,Mississippi State,East Regional,1
2003,Louisville,Austin Peay,East Regional,1
2003,Oklahoma State,Pennsylvania ,East Regional,1
2003,Syracuse,Manhattan,East Regional,1
2003,Auburn,Saint Joseph's,East Regional,1
2003,Wake Forest,East Tennessee State,East Regional,1
2003,Oklahoma,California,East Regional,2
2003,Butler,Louisville,East Regional,2
2003,Syracuse,Oklahoma State,East Regional,2
2003,Auburn,Wake Forest,East Regional,2
2003,Oklahoma,Butler,East Regional,3
2003,Syracuse,Auburn,East Regional,3
2003,Syracuse,Oklahoma,East Regional,4
2003,Texas,UNC Asheville,South Regional,1
2003,Purdue,LSU,South Regional,1
2003,Connecticut,Brigham Young,South Regional,1
2003,Stanford,San Diego,South Regional,1
2003,Maryland,UNC Wilmington,South Regional,1
2003,Xavier,Troy,South Regional,1
2003,Michigan State,Colorado,South Regional,1
2003,Florida,Sam Houston State,South Regional,1
2003,Texas,Purdue,South Regional,2
2003,Connecticut,Stanford,South Regional,2
2003,Maryland,Xavier,South Regional,2
2003,Michigan State,Florida,South Regional,2
2003,Texas,Connecticut,South Regional,3
2003,Michigan State,Maryland,South Regional,3
2003,Texas,Michigan State,South Regional,4
2003,Syracuse,Texas,none,5
2003,Kansas,Marquette,none,5
2003,Syracuse,Kansas,none,6
South Regional,East Regional,West Regional,Midwest Regional
