year,team0,team1,winner,loser,region,round
2019,Fairleigh Dickinson,Prairie View A&M,Fairleigh Dickinson,Prairie View A&M,none,0
2019,Belmont,Temple,Belmont,Temple,none,0
2019,North Dakota State,North Carolina Central,North Dakota State,North Carolina Central,none,0
2019,Arizona State,St. John's,Arizona State,St. John's,none,0
2019,North Carolina,Iona,North Carolina,Iona,Midwest Regional,1
2019,Utah State,Washington,Washington,Utah State,Midwest Regional,1
2019,Auburn,New Mexico State,Auburn,New Mexico State,Midwest Regional,1
2019,Kansas,Northeastern,Kansas,Northeastern,Midwest Regional,1
2019,Iowa State,Ohio State,Ohio State,Iowa State,Midwest Regional,1
2019,Houston,Georgia State,Houston,Georgia State,Midwest Regional,1
2019,Wofford,Seton Hall,Wofford,Seton Hall,Midwest Regional,1
2019,Kentucky,Abilene Christian,Kentucky,Abilene Christian,Midwest Regional,1
2019,North Carolina,Washington,North Carolina,Washington,Midwest Regional,2
2019,Kansas,Auburn,Auburn,Kansas,Midwest Regional,2
2019,Houston,Ohio State,Houston,Ohio State,Midwest Regional,2
2019,Kentucky,Wofford,Kentucky,Wofford,Midwest Regional,2
2019,North Carolina,Auburn,Auburn,North Carolina,Midwest Regional,3
2019,Kentucky,Houston,Kentucky,Houston,Midwest Regional,3
2019,Kentucky,Auburn,Auburn,Kentucky,Midwest Regional,4
2019,Gonzaga,Fairleigh Dickinson,Gonzaga,Fairleigh Dickinson,West Regional,1
2019,Syracuse,Baylor,Baylor,Syracuse,West Regional,1
2019,Marquette,Murray State,Murray State,Marquette,West Regional,1
2019,Florida State,Vermont,Florida State,Vermont,West Regional,1
2019,Buffalo,Arizona State,Buffalo,Arizona State,West Regional,1
2019,Texas Tech,Northern Kentucky,Texas Tech,Northern Kentucky,West Regional,1
2019,Nevada,Florida,Florida,Nevada,West Regional,1
2019,Michigan,Montana,Michigan,Montana,West Regional,1
2019,Gonzaga,Baylor,Gonzaga,Baylor,West Regional,2
2019,Florida State,Murray State,Florida State,Murray State,West Regional,2
2019,Texas Tech,Buffalo,Texas Tech,Buffalo,West Regional,2
2019,Michigan,Florida,Michigan,Florida,West Regional,2
2019,Gonzaga,Florida State,Gonzaga,Florida State,West Regional,3
2019,Michigan,Texas Tech,Texas Tech,Michigan,West Regional,3
2019,Gonzaga,Texas Tech,Texas Tech,Gonzaga,West Regional,4
2019,Duke,North Dakota State,Duke,North Dakota State,East Regional,1
2019,VCU,UCF,UCF,VCU,East Regional,1
2019,Mississippi State,Liberty,Liberty,Mississippi State,East Regional,1
2019,Virginia Tech,Saint Louis,Virginia Tech,Saint Louis,East Regional,1
2019,Maryland,Belmont,Maryland,Belmont,East Regional,1
2019,LSU,Yale,LSU,Yale,East Regional,1
2019,Louisville,Minnesota,Minnesota,Louisville,East Regional,1
2019,Michigan State,Bradley,Michigan State,Bradley,East Regional,1
2019,Duke,UCF,Duke,UCF,East Regional,2
2019,Virginia Tech,Liberty,Virginia Tech,Liberty,East Regional,2
2019,LSU,Maryland,LSU,Maryland,East Regional,2
2019,Michigan State,Minnesota,Michigan State,Minnesota,East Regional,2
2019,Duke,Virginia Tech,Duke,Virginia Tech,East Regional,3
2019,Michigan State,LSU,Michigan State,LSU,East Regional,3
2019,Duke,Michigan State,Michigan State,Duke,East Regional,4
2019,Virginia,Gardner-Webb,Virginia,Gardner-Webb,South Regional,1
2019,Ole Miss,Oklahoma,Oklahoma,Ole Miss,South Regional,1
2019,Wisconsin,Oregon,Oregon,Wisconsin,South Regional,1
2019,Kansas State,UC Irvine,UC Irvine,Kansas State,South Regional,1
2019,Villanova,Saint Mary's,Villanova,Saint Mary's,South Regional,1
2019,Purdue,Old Dominion,Purdue,Old Dominion,South Regional,1
2019,Cincinnati,Iowa,Iowa,Cincinnati,South Regional,1
2019,Tennessee,Colgate,Tennessee,Colgate,South Regional,1
2019,Virginia,Oklahoma,Virginia,Oklahoma,South Regional,2
2019,Oregon,UC Irvine,Oregon,UC Irvine,South Regional,2
2019,Purdue,Villanova,Purdue,Villanova,South Regional,2
2019,Tennessee,Iowa,Tennessee,Iowa,South Regional,2
2019,Virginia,Oregon,Virginia,Oregon,South Regional,3
2019,Tennessee,Purdue,Purdue,Tennessee,South Regional,3
2019,Virginia,Purdue,Virginia,Purdue,South Regional,4
2019,Michigan State,Texas Tech,Texas Tech,Michigan State,none,5
2019,Virginia,Auburn,Virginia,Auburn,none,5
2019,Virginia,Texas Tech,Virginia,Texas Tech,none,6
East Regional,West Regional,South Regional,Midwest Regional
