year,team0,team1,winner,loser,region,round
2014,Albany,Mount St. Mary's,Albany,Mount St. Mary's,none,0
2014,NC State,Xavier,NC State,Xavier,none,0
2014,Iowa,Tennessee,Tennessee,Iowa,none,0
2014,Cal Poly,Texas Southern,Cal Poly,Texas Southern,none,0
2014,Florida,Albany,Florida,Albany,South Regional,1
2014,Colorado,Pittsburgh,Pittsburgh,Colorado,South Regional,1
2014,VCU,Stephen F. Austin,Stephen F. Austin,VCU,South Regional,1
2014,UCLA,Tulsa,UCLA,Tulsa,South Regional,1
2014,Ohio State,Dayton,Dayton,Ohio State,South Regional,1
2014,Syracuse,Western Michigan,Syracuse,Western Michigan,South Regional,1
2014,New Mexico,Stanford,Stanford,New Mexico,South Regional,1
2014,Kansas,Eastern Kentucky,Kansas,Eastern Kentucky,South Regional,1
2014,Florida,Pittsburgh,Florida,Pittsburgh,South Regional,2
2014,UCLA,Stephen F. Austin,UCLA,Stephen F. Austin,South Regional,2
2014,Syracuse,Dayton,Dayton,Syracuse,South Regional,2
2014,Kansas,Stanford,Stanford,Kansas,South Regional,2
2014,Florida,UCLA,Florida,UCLA,South Regional,3
2014,Stanford,Dayton,Dayton,Stanford,South Regional,3
2014,Florida,Dayton,Florida,Dayton,South Regional,4
2014,Arizona,Weber State,Arizona,Weber State,West Regional,1
2014,Gonzaga,Oklahoma State,Gonzaga,Oklahoma State,West Regional,1
2014,Oklahoma,North Dakota State,North Dakota State,Oklahoma,West Regional,1
2014,San Diego State,New Mexico State,San Diego State,New Mexico State,West Regional,1
2014,Baylor,Nebraska,Baylor,Nebraska,West Regional,1
2014,Creighton,Louisiana,Creighton,Louisiana,West Regional,1
2014,Oregon,Brigham Young,Oregon,Brigham Young,West Regional,1
2014,Wisconsin,American University,Wisconsin,American University,West Regional,1
2014,Arizona,Gonzaga,Arizona,Gonzaga,West Regional,2
2014,San Diego State,North Dakota State,San Diego State,North Dakota State,West Regional,2
2014,Creighton,Baylor,Baylor,Creighton,West Regional,2
2014,Wisconsin,Oregon,Wisconsin,Oregon,West Regional,2
2014,Arizona,San Diego State,Arizona,San Diego State,West Regional,3
2014,Wisconsin,Baylor,Wisconsin,Baylor,West Regional,3
2014,Arizona,Wisconsin,Wisconsin,Arizona,West Regional,4
2014,Virginia,Coastal Carolina,Virginia,Coastal Carolina,East Regional,1
2014,Memphis,George Washington,Memphis,George Washington,East Regional,1
2014,Cincinnati,Harvard,Harvard,Cincinnati,East Regional,1
2014,Michigan State,Delaware,Michigan State,Delaware,East Regional,1
2014,North Carolina,Providence,North Carolina,Providence,East Regional,1
2014,Iowa State,North Carolina Central,Iowa State,North Carolina Central,East Regional,1
2014,Connecticut,Saint Joseph's,Connecticut,Saint Joseph's,East Regional,1
2014,Villanova,Milwaukee,Villanova,Milwaukee,East Regional,1
2014,Virginia,Memphis,Virginia,Memphis,East Regional,2
2014,Michigan State,Harvard,Michigan State,Harvard,East Regional,2
2014,Iowa State,North Carolina,Iowa State,North Carolina,East Regional,2
2014,Villanova,Connecticut,Connecticut,Villanova,East Regional,2
2014,Virginia,Michigan State,Michigan State,Virginia,East Regional,3
2014,Iowa State,Connecticut,Connecticut,Iowa State,East Regional,3
2014,Michigan State,Connecticut,Connecticut,Michigan State,East Regional,4
2014,Wichita State,Cal Poly,Wichita State,Cal Poly,Midwest Regional,1
2014,Kentucky,Kansas State,Kentucky,Kansas State,Midwest Regional,1
2014,Saint Louis,NC State,Saint Louis,NC State,Midwest Regional,1
2014,Louisville,Manhattan,Louisville,Manhattan,Midwest Regional,1
2014,Massachusetts,Tennessee,Tennessee,Massachusetts,Midwest Regional,1
2014,Duke,Mercer,Mercer,Duke,Midwest Regional,1
2014,Texas,Arizona State,Texas,Arizona State,Midwest Regional,1
2014,Michigan,Wofford,Michigan,Wofford,Midwest Regional,1
2014,Wichita State,Kentucky,Kentucky,Wichita State,Midwest Regional,2
2014,Louisville,Saint Louis,Louisville,Saint Louis,Midwest Regional,2
2014,Tennessee,Mercer,Tennessee,Mercer,Midwest Regional,2
2014,Michigan,Texas,Michigan,Texas,Midwest Regional,2
2014,Louisville,Kentucky,Kentucky,Louisville,Midwest Regional,3
2014,Michigan,Tennessee,Michigan,Tennessee,Midwest Regional,3
2014,Michigan,Kentucky,Kentucky,Michigan,Midwest Regional,4
2014,Florida,Connecticut,Connecticut,Florida,none,5
2014,Wisconsin,Kentucky,Kentucky,Wisconsin,none,5
2014,Connecticut,Kentucky,Connecticut,Kentucky,none,6
South Regional,East Regional,West Regional,Midwest Regional
