year,winner,loser,region,round
2010,Arkansas-Pine Bluff ,Winthrop,none,0
2010,Kansas,Lehigh,Midwest Regional,1
2010,Northern Iowa,UNLV,Midwest Regional,1
2010,Michigan State,New Mexico State,Midwest Regional,1
2010,Maryland,Houston,Midwest Regional,1
2010,Tennessee,San Diego State,Midwest Regional,1
2010,Ohio,Georgetown,Midwest Regional,1
2010,Georgia Tech,Oklahoma State,Midwest Regional,1
2010,Ohio State,UC Santa Barbara,Midwest Regional,1
2010,Northern Iowa,Kansas,Midwest Regional,2
2010,Michigan State,Maryland,Midwest Regional,2
2010,Tennessee,Ohio,Midwest Regional,2
2010,Ohio State,Georgia Tech,Midwest Regional,2
2010,Michigan State,Northern Iowa,Midwest Regional,3
2010,Tennessee,Ohio State,Midwest Regional,3
2010,Michigan State,Tennessee,Midwest Regional,4
2010,Syracuse,Vermont,West Regional,1
2010,Gonzaga,Florida State,West Regional,1
2010,Butler,UTEP,West Regional,1
2010,Murray State,Vanderbilt,West Regional,1
2010,Xavier,Minnesota,West Regional,1
2010,Pittsburgh,Oakland,West Regional,1
2010,Brigham Young,Florida,West Regional,1
2010,Kansas State,North Texas,West Regional,1
2010,Syracuse,Gonzaga,West Regional,2
2010,Butler,Murray State,West Regional,2
2010,Xavier,Pittsburgh,West Regional,2
2010,Kansas State,Brigham Young,West Regional,2
2010,Butler,Syracuse,West Regional,3
2010,Kansas State,Xavier,West Regional,3
2010,Butler,Kansas State,West Regional,4
2010,Kentucky,East Tennessee State,East Regional,1
2010,Wake Forest,Texas,East Regional,1
2010,Cornell,Temple,East Regional,1
2010,Wisconsin,Wofford,East Regional,1
2010,Washington,Marquette,East Regional,1
2010,New Mexico,Montana,East Regional,1
2010,Missouri,Clemson,East Regional,1
2010,West Virginia,Morgan State,East Regional,1
2010,Kentucky,Wake Forest,East Regional,2
2010,Cornell,Wisconsin,East Regional,2
2010,Washington,New Mexico,East Regional,2
2010,West Virginia,Missouri,East Regional,2
2010,Kentucky,Cornell,East Regional,3
2010,West Virginia,Washington,East Regional,3
2010,West Virginia,Kentucky,East Regional,4
2010,Duke,Arkansas-Pine Bluff ,South Regional,1
2010,California,Louisville,South Regional,1
2010,Texas A&M,Utah State,South Regional,1
2010,Purdue,Siena,South Regional,1
2010,Old Dominion,Notre Dame,South Regional,1
2010,Baylor,Sam Houston State,South Regional,1
2010,Saint Mary's,Richmond,South Regional,1
2010,Villanova,Robert Morris,South Regional,1
2010,Duke,California,South Regional,2
2010,Purdue,Texas A&M,South Regional,2
2010,Baylor,Old Dominion,South Regional,2
2010,Saint Mary's,Villanova,South Regional,2
2010,Duke,Purdue,South Regional,3
2010,Baylor,Saint Mary's,South Regional,3
2010,Duke,Baylor,South Regional,4
2010,Butler,Michigan State,none,5
2010,Duke,West Virginia,none,5
2010,Duke,Butler,none,6
Midwest Regional,West Regional,South Regional,East Regional
