year,team1,team2,winner,loser,region,round
2004,Lehigh,Florida A&M,Florida A&M,Lehigh,none,0
2004,Kentucky,Florida A&M,Kentucky,Florida A&M,Midwest Regional,1
2004,Washington,UAB,UAB,Washington,Midwest Regional,1
2004,Providence,Pacific,Pacific,Providence,Midwest Regional,1
2004,Kansas,Illinois-Chicago,Kansas,Illinois-Chicago,Midwest Regional,1
2004,Boston College,Utah,Boston College,Utah,Midwest Regional,1
2004,Georgia Tech,Northern Iowa,Georgia Tech,Northern Iowa,Midwest Regional,1
2004,Michigan State,Nevada,Nevada,Michigan State,Midwest Regional,1
2004,Gonzaga,Valparaiso,Gonzaga,Valparaiso,Midwest Regional,1
2004,Kentucky,UAB,UAB,Kentucky,Midwest Regional,2
2004,Kansas,Pacific,Kansas,Pacific,Midwest Regional,2
2004,Georgia Tech,Boston College,Georgia Tech,Boston College,Midwest Regional,2
2004,Gonzaga,Nevada,Nevada,Gonzaga,Midwest Regional,2
2004,Kansas,UAB,Kansas,UAB,Midwest Regional,3
2004,Georgia Tech,Nevada,Georgia Tech,Nevada,Midwest Regional,3
2004,Georgia Tech,Kansas,Georgia Tech,Kansas,Midwest Regional,4
2004,Stanford,Texas-San Antonio,Stanford,Texas-San Antonio,West Regional,1
2004,Alabama,Southern Illinois,Alabama,Southern Illinois,West Regional,1
2004,Syracuse,Brigham Young,Syracuse,Brigham Young,West Regional,1
2004,Maryland,UTEP,Maryland,UTEP,West Regional,1
2004,Vanderbilt,Western Michigan,Vanderbilt,Western Michigan,West Regional,1
2004,NC State,Louisiana,NC State,Louisiana,West Regional,1
2004,DePaul,Dayton,DePaul,Dayton,West Regional,1
2004,Connecticut,Vermont,Connecticut,Vermont,West Regional,1
2004,Stanford,Alabama,Alabama,Stanford,West Regional,2
2004,Maryland,Syracuse,Syracuse,Maryland,West Regional,2
2004,NC State,Vanderbilt,Vanderbilt,NC State,West Regional,2
2004,Connecticut,DePaul,Connecticut,DePaul,West Regional,2
2004,Syracuse,Alabama,Alabama,Syracuse,West Regional,3
2004,Connecticut,Vanderbilt,Connecticut,Vanderbilt,West Regional,3
2004,Connecticut,Alabama,Connecticut,Alabama,West Regional,4
2004,Saint Joseph's,Liberty,Saint Joseph's,Liberty,East Regional,1
2004,Texas Tech,Charlotte,Texas Tech,Charlotte,East Regional,1
2004,Florida,Manhattan,Manhattan,Florida,East Regional,1
2004,Wake Forest,VCU,Wake Forest,VCU,East Regional,1
2004,Wisconsin,Richmond,Wisconsin,Richmond,East Regional,1
2004,Pittsburgh,UCF,Pittsburgh,UCF,East Regional,1
2004,Memphis,South Carolina,Memphis,South Carolina,East Regional,1
2004,Oklahoma State,Eastern Washington,Oklahoma State,Eastern Washington,East Regional,1
2004,Saint Joseph's,Texas Tech,Saint Joseph's,Texas Tech,East Regional,2
2004,Wake Forest,Manhattan,Wake Forest,Manhattan,East Regional,2
2004,Pittsburgh,Wisconsin,Pittsburgh,Wisconsin,East Regional,2
2004,Oklahoma State,Memphis,Oklahoma State,Memphis,East Regional,2
2004,Saint Joseph's,Wake Forest,Saint Joseph's,Wake Forest,East Regional,3
2004,Oklahoma State,Pittsburgh,Oklahoma State,Pittsburgh,East Regional,3
2004,Saint Joseph's,Oklahoma State,Oklahoma State,Saint Joseph's,East Regional,4
2004,Duke,Alabama State,Duke,Alabama State,South Regional,1
2004,Seton Hall,Arizona,Seton Hall,Arizona,South Regional,1
2004,Illinois,Murray State,Illinois,Murray State,South Regional,1
2004,Cincinnati,East Tennessee State,Cincinnati,East Tennessee State,South Regional,1
2004,North Carolina,Air Force,North Carolina,Air Force,South Regional,1
2004,Texas,Princeton,Texas,Princeton,South Regional,1
2004,Xavier,Louisville,Xavier,Louisville,South Regional,1
2004,Mississippi State,Monmouth,Mississippi State,Monmouth,South Regional,1
2004,Duke,Seton Hall,Duke,Seton Hall,South Regional,2
2004,Cincinnati,Illinois,Illinois,Cincinnati,South Regional,2
2004,Texas,North Carolina,Texas,North Carolina,South Regional,2
2004,Mississippi State,Xavier,Xavier,Mississippi State,South Regional,2
2004,Duke,Illinois,Duke,Illinois,South Regional,3
2004,Texas,Xavier,Xavier,Texas,South Regional,3
2004,Duke,Xavier,Duke,Xavier,South Regional,4
2004,Oklahoma State,Georgia Tech,Georgia Tech,Oklahoma State,none,5
2004,Duke,Connecticut,Connecticut,Duke,none,5
2004,Connecticut,Georgia Tech,Connecticut,Georgia Tech,none,6
East Regional,Midwest Regional,South Regional,West Regional
