year,team0,team1,winner,loser,region,round
2016,Vanderbilt,Wichita State,Wichita State,Vanderbilt,none,0
2016,Fairleigh Dickinson,Florida Gulf Coast,Florida Gulf Coast,Fairleigh Dickinson,none,0
2016,Michigan,Tulsa,Michigan,Tulsa,none,0
2016,Holy Cross,Southern,Holy Cross,Southern,none,0
2016,Virginia,Hampton,Virginia,Hampton,Midwest Regional,1
2016,Texas Tech,Butler,Butler,Texas Tech,Midwest Regional,1
2016,Purdue,Little Rock,Little Rock,Purdue,Midwest Regional,1
2016,Iowa State,Iona,Iowa State,Iona,Midwest Regional,1
2016,Seton Hall,Gonzaga,Gonzaga,Seton Hall,Midwest Regional,1
2016,Utah,Fresno State,Utah,Fresno State,Midwest Regional,1
2016,Dayton,Syracuse,Syracuse,Dayton,Midwest Regional,1
2016,Michigan State,Middle Tennessee State,Middle Tennessee State,Michigan State,Midwest Regional,1
2016,Virginia,Butler,Virginia,Butler,Midwest Regional,2
2016,Iowa State,Little Rock,Iowa State,Little Rock,Midwest Regional,2
2016,Utah,Gonzaga,Gonzaga,Utah,Midwest Regional,2
2016,Syracuse,Middle Tennessee State,Syracuse,Middle Tennessee State,Midwest Regional,2
2016,Virginia,Iowa State,Virginia,Iowa State,Midwest Regional,3
2016,Syracuse,Gonzaga,Syracuse,Gonzaga,Midwest Regional,3
2016,Virginia,Syracuse,Syracuse,Virginia,Midwest Regional,4
2016,Oregon,Holy Cross,Oregon,Holy Cross,West Regional,1
2016,Saint Joseph's,Cincinnati,Saint Joseph's,Cincinnati,West Regional,1
2016,Baylor,Yale,Yale,Baylor,West Regional,1
2016,Duke,UNC Wilmington,Duke,UNC Wilmington,West Regional,1
2016,Texas,Northern Iowa,Northern Iowa,Texas,West Regional,1
2016,Texas A&M,Green Bay,Texas A&M,Green Bay,West Regional,1
2016,Oregon State,VCU,VCU,Oregon State,West Regional,1
2016,Oklahoma,Cal State Bakersfield,Oklahoma,Cal State Bakersfield,West Regional,1
2016,Oregon,Saint Joseph's,Oregon,Saint Joseph's,West Regional,2
2016,Duke,Yale,Duke,Yale,West Regional,2
2016,Texas A&M,Northern Iowa,Texas A&M,Northern Iowa,West Regional,2
2016,Oklahoma,VCU,Oklahoma,VCU,West Regional,2
2016,Oregon,Duke,Oregon,Duke,West Regional,3
2016,Oklahoma,Texas A&M,Oklahoma,Texas A&M,West Regional,3
2016,Oregon,Oklahoma,Oklahoma,Oregon,West Regional,4
2016,North Carolina,Florida Gulf Coast,North Carolina,Florida Gulf Coast,East Regional,1
2016,USC,Providence,Providence,USC,East Regional,1
2016,Indiana,Chattanooga,Indiana,Chattanooga,East Regional,1
2016,Kentucky,Stony Brook,Kentucky,Stony Brook,East Regional,1
2016,Notre Dame,Michigan,Notre Dame,Michigan,East Regional,1
2016,West Virginia,Stephen F. Austin,Stephen F. Austin,West Virginia,East Regional,1
2016,Wisconsin,Pittsburgh,Wisconsin,Pittsburgh,East Regional,1
2016,Xavier,Weber State,Xavier,Weber State,East Regional,1
2016,North Carolina,Providence,North Carolina,Providence,East Regional,2
2016,Kentucky,Indiana,Indiana,Kentucky,East Regional,2
2016,Notre Dame,Stephen F. Austin,Notre Dame,Stephen F. Austin,East Regional,2
2016,Xavier,Wisconsin,Wisconsin,Xavier,East Regional,2
2016,North Carolina,Indiana,North Carolina,Indiana,East Regional,3
2016,Notre Dame,Wisconsin,Notre Dame,Wisconsin,East Regional,3
2016,North Carolina,Notre Dame,North Carolina,Notre Dame,East Regional,4
2016,Kansas,Austin Peay,Kansas,Austin Peay,South Regional,1
2016,Colorado,Connecticut,Connecticut,Colorado,South Regional,1
2016,Maryland,South Dakota State,Maryland,South Dakota State,South Regional,1
2016,California,Hawaii,Hawaii,California,South Regional,1
2016,Arizona,Wichita State,Wichita State,Arizona,South Regional,1
2016,Miami (FL),Buffalo,Miami (FL),Buffalo,South Regional,1
2016,Iowa,Temple,Iowa,Temple,South Regional,1
2016,Villanova,UNC Asheville,Villanova,UNC Asheville,South Regional,1
2016,Kansas,Connecticut,Kansas,Connecticut,South Regional,2
2016,Maryland,Hawaii,Maryland,Hawaii,South Regional,2
2016,Miami (FL),Wichita State,Miami (FL),Wichita State,South Regional,2
2016,Villanova,Iowa,Villanova,Iowa,South Regional,2
2016,Kansas,Maryland,Kansas,Maryland,South Regional,3
2016,Villanova,Miami (FL),Villanova,Miami (FL),South Regional,3
2016,Kansas,Villanova,Villanova,Kansas,South Regional,4
2016,Oklahoma,Villanova,Villanova,Oklahoma,none,5
2016,North Carolina,Syracuse,North Carolina,Syracuse,none,5
2016,North Carolina,Villanova,Villanova,North Carolina,none,6
West Regional,South Regional,East Regional,Midwest Regional
