year,team0,team1,winner,loser,region,round
2015,Manhattan,Hampton,Hampton,Manhattan,none,0
2015,Ole Miss,Brigham Young,Ole Miss,Brigham Young,none,0
2015,Boise State,Dayton,Dayton,Boise State,none,0
2015,North Florida,Robert Morris,Robert Morris,North Florida,none,0
2015,Kentucky,Hampton,Kentucky,Hampton,Midwest Regional,1
2015,Cincinnati,Purdue,Cincinnati,Purdue,Midwest Regional,1
2015,West Virginia,Buffalo,West Virginia,Buffalo,Midwest Regional,1
2015,Maryland,Valparaiso,Maryland,Valparaiso,Midwest Regional,1
2015,Butler,Texas,Butler,Texas,Midwest Regional,1
2015,Notre Dame,Northeastern,Notre Dame,Northeastern,Midwest Regional,1
2015,Wichita State,Indiana,Wichita State,Indiana,Midwest Regional,1
2015,Kansas,New Mexico State,Kansas,New Mexico State,Midwest Regional,1
2015,Kentucky,Cincinnati,Kentucky,Cincinnati,Midwest Regional,2
2015,Maryland,West Virginia,West Virginia,Maryland,Midwest Regional,2
2015,Notre Dame,Butler,Notre Dame,Butler,Midwest Regional,2
2015,Kansas,Wichita State,Wichita State,Kansas,Midwest Regional,2
2015,Kentucky,West Virginia,Kentucky,West Virginia,Midwest Regional,3
2015,Notre Dame,Wichita State,Notre Dame,Wichita State,Midwest Regional,3
2015,Kentucky,Notre Dame,Kentucky,Notre Dame,Midwest Regional,4
2015,Wisconsin,Coastal Carolina,Wisconsin,Coastal Carolina,West Regional,1
2015,Oregon,Oklahoma State,Oregon,Oklahoma State,West Regional,1
2015,Arkansas,Wofford,Arkansas,Wofford,West Regional,1
2015,North Carolina,Harvard,North Carolina,Harvard,West Regional,1
2015,Xavier,Ole Miss,Xavier,Ole Miss,West Regional,1
2015,Baylor,Georgia State,Georgia State,Baylor,West Regional,1
2015,VCU,Ohio State,Ohio State,VCU,West Regional,1
2015,Arizona,Texas Southern,Arizona,Texas Southern,West Regional,1
2015,Wisconsin,Oregon,Wisconsin,Oregon,West Regional,2
2015,North Carolina,Arkansas,North Carolina,Arkansas,West Regional,2
2015,Xavier,Georgia State,Xavier,Georgia State,West Regional,2
2015,Arizona,Ohio State,Arizona,Ohio State,West Regional,2
2015,Wisconsin,North Carolina,Wisconsin,North Carolina,West Regional,3
2015,Arizona,Xavier,Arizona,Xavier,West Regional,3
2015,Wisconsin,Arizona,Wisconsin,Arizona,West Regional,4
2015,Villanova,Lafayette,Villanova,Lafayette,East Regional,1
2015,NC State,LSU,NC State,LSU,East Regional,1
2015,Northern Iowa,Wyoming,Northern Iowa,Wyoming,East Regional,1
2015,Louisville,UC Irvine,Louisville,UC Irvine,East Regional,1
2015,Providence,Dayton,Dayton,Providence,East Regional,1
2015,Oklahoma,Albany,Oklahoma,Albany,East Regional,1
2015,Michigan State,Georgia,Michigan State,Georgia,East Regional,1
2015,Virginia,Belmont,Virginia,Belmont,East Regional,1
2015,Villanova,NC State,NC State,Villanova,East Regional,2
2015,Louisville,Northern Iowa,Louisville,Northern Iowa,East Regional,2
2015,Oklahoma,Dayton,Oklahoma,Dayton,East Regional,2
2015,Virginia,Michigan State,Michigan State,Virginia,East Regional,2
2015,Louisville,NC State,Louisville,NC State,East Regional,3
2015,Oklahoma,Michigan State,Michigan State,Oklahoma,East Regional,3
2015,Louisville,Michigan State,Michigan State,Louisville,East Regional,4
2015,Duke,Robert Morris,Duke,Robert Morris,South Regional,1
2015,San Diego State,St. John's,San Diego State,St. John's,South Regional,1
2015,Utah,Stephen F. Austin,Utah,Stephen F. Austin,South Regional,1
2015,Georgetown,Eastern Washington,Georgetown,Eastern Washington,South Regional,1
2015,Southern Methodist,UCLA,UCLA,Southern Methodist,South Regional,1
2015,Iowa State,UAB,UAB,Iowa State,South Regional,1
2015,Iowa,Davidson,Iowa,Davidson,South Regional,1
2015,Gonzaga,North Dakota State,Gonzaga,North Dakota State,South Regional,1
2015,Duke,San Diego State,Duke,San Diego State,South Regional,2
2015,Georgetown,Utah,Utah,Georgetown,South Regional,2
2015,UCLA,UAB,UCLA,UAB,South Regional,2
2015,Gonzaga,Iowa,Gonzaga,Iowa,South Regional,2
2015,Duke,Utah,Duke,Utah,South Regional,3
2015,Gonzaga,UCLA,Gonzaga,UCLA,South Regional,3
2015,Duke,Gonzaga,Duke,Gonzaga,South Regional,4
2015,Kentucky,Wisconsin,Wisconsin,Kentucky,none,5
2015,Duke,Michigan State,Duke,Michigan State,none,5
2015,Duke,Wisconsin,Duke,Wisconsin,none,6
Midwest Regional,West Regional,South Regional,East Regional
