year,winner,loser,region,round
2018,Radford,Long Island,none,0
2018,St. Bonaventure,UCLA,none,0
2018,Texas Southern,North Carolina Central,none,0
2018,Syracuse,Arizona State,none,0
2018,Kansas,Pennsylvania ,Midwest Regional,1
2018,Seton Hall,NC State,Midwest Regional,1
2018,Clemson,New Mexico State,Midwest Regional,1
2018,Auburn,Charleston,Midwest Regional,1
2018,Syracuse,Texas Christian,Midwest Regional,1
2018,Michigan State,Bucknell,Midwest Regional,1
2018,Rhode Island,Oklahoma,Midwest Regional,1
2018,Duke,Iona,Midwest Regional,1
2018,Kansas,Seton Hall,Midwest Regional,2
2018,Clemson,Auburn,Midwest Regional,2
2018,Syracuse,Michigan State,Midwest Regional,2
2018,Duke,Rhode Island,Midwest Regional,2
2018,Kansas,Clemson,Midwest Regional,3
2018,Duke,Syracuse,Midwest Regional,3
2018,Kansas,Duke,Midwest Regional,4
2018,Xavier,Texas Southern,West Regional,1
2018,Florida State,Missouri,West Regional,1
2018,Ohio State,South Dakota State,West Regional,1
2018,Gonzaga,UNC Greensboro,West Regional,1
2018,Houston,San Diego State,West Regional,1
2018,Michigan,Montana,West Regional,1
2018,Texas A&M,Providence,West Regional,1
2018,North Carolina,Lipscomb,West Regional,1
2018,Florida State,Xavier,West Regional,2
2018,Gonzaga,Ohio State,West Regional,2
2018,Michigan,Houston,West Regional,2
2018,Texas A&M,North Carolina,West Regional,2
2018,Florida State,Gonzaga,West Regional,3
2018,Michigan,Texas A&M,West Regional,3
2018,Michigan,Florida State,West Regional,4
2018,Villanova,Radford,East Regional,1
2018,Alabama,Virginia Tech,East Regional,1
2018,West Virginia,Murray State,East Regional,1
2018,Marshall,Wichita State,East Regional,1
2018,Florida,St. Bonaventure,East Regional,1
2018,Texas Tech,Stephen F. Austin,East Regional,1
2018,Butler,Arkansas,East Regional,1
2018,Purdue,Cal State Fullerton,East Regional,1
2018,Villanova,Alabama,East Regional,2
2018,West Virginia,Marshall,East Regional,2
2018,Texas Tech,Florida,East Regional,2
2018,Purdue,Butler,East Regional,2
2018,Villanova,West Virginia,East Regional,3
2018,Texas Tech,Purdue,East Regional,3
2018,Villanova,Texas Tech,East Regional,4
2018,UMBC,Virginia,South Regional,1
2018,Kansas State,Creighton,South Regional,1
2018,Kentucky,Davidson,South Regional,1
2018,Buffalo,Arizona,South Regional,1
2018,Loyola (IL),Miami,South Regional,1
2018,Tennessee,Wright State,South Regional,1
2018,Nevada,Texas,South Regional,1
2018,Cincinnati,Georgia State,South Regional,1
2018,Kansas State,UMBC,South Regional,2
2018,Kentucky,Buffalo,South Regional,2
2018,Loyola (IL),Tennessee,South Regional,2
2018,Nevada,Cincinnati,South Regional,2
2018,Kansas State,Kentucky,South Regional,3
2018,Loyola (IL),Nevada,South Regional,3
2018,Loyola (IL),Kansas State,South Regional,4
2018,Michigan,Loyola (IL),none,5
2018,Villanova,Kansas,none,5
2018,Villanova,Michigan,none,6
West Regional,South Regional,East Regional,Midwest Regional
