year,winner,loser
2008,Mount St. Mary's,Coppin State
2008,Kansas,Portland State
2008,UNLV,Kent State
2008,Villanova,Clemson
2008,Siena,Vanderbilt
2008,Kansas State,USC
2008,Wisconsin,Cal State Fullerton
2008,Davidson,Gonzaga
2008,Georgetown,UMBC
2008,Kansas,UNLV
2008,Villanova,Siena
2008,Wisconsin,Kansas State
2008,Davidson,Georgetown
2008,Kansas,Villanova
2008,Davidson,Wisconsin
2008,Kansas,Davidson
2008,UCLA,Mississippi Valley State
2008,Texas A&M,Brigham Young
2008,Western Kentucky,Drake
2008,San Diego,Connecticut
2008,Purdue,Baylor
2008,Xavier,Georgia
2008,West Virginia,Arizona
2008,Duke,Belmont
2008,UCLA,Texas A&M
2008,Western Kentucky,San Diego
2008,Xavier,Purdue
2008,West Virginia,Duke
2008,UCLA,Western Kentucky
2008,Xavier,West Virginia
2008,UCLA,Xavier
2008,North Carolina,Mount St. Mary's
2008,Arkansas,Indiana
2008,Notre Dame,George Mason
2008,Washington State,Winthrop
2008,Oklahoma,Saint Joseph's
2008,Louisville,Boise State
2008,Butler,South Alabama
2008,Tennessee,American University
2008,North Carolina,Arkansas
2008,Washington State,Notre Dame
2008,Louisville,Oklahoma
2008,Tennessee,Butler
2008,North Carolina,Washington State
2008,Louisville,Tennessee
2008,North Carolina,Louisville
2008,Memphis,Texas-Arlington
2008,Mississippi State,Oregon
2008,Michigan State,Temple
2008,Pittsburgh,Oral Roberts
2008,Marquette,Kentucky
2008,Stanford,Cornell
2008,Miami (FL),Saint Mary's
2008,Texas,Austin Peay
2008,Memphis,Mississippi State
2008,Michigan State,Pittsburgh
2008,Stanford,Marquette
2008,Texas,Miami (FL)
2008,Memphis,Michigan State
2008,Texas,Stanford
2008,Memphis,Texas
2008,Kansas,North Carolina
2008,Memphis,UCLA
2008,Kansas,Memphis
