year,team1,team2,winner,loser,region,round
2013,Liberty,North Carolina A&T,North Carolina A&T,Liberty,none,0
2013,Middle Tennessee State,Saint Mary's,Saint Mary's,Middle Tennessee State,none,0
2013,Boise State,La Salle,La Salle,Boise State,none,0
2013,James Madison,Long Island,James Madison,Long Island,none,0
2013,Indiana,James Madison,Indiana,James Madison,East Regional,1
2013,NC State,Temple,Temple,NC State,East Regional,1
2013,UNLV,California,California,UNLV,East Regional,1
2013,Syracuse,Montana,Syracuse,Montana,East Regional,1
2013,Butler,Bucknell,Butler,Bucknell,East Regional,1
2013,Marquette,Davidson,Marquette,Davidson,East Regional,1
2013,Illinois,Colorado,Illinois,Colorado,East Regional,1
2013,Miami,Pacific,Miami,Pacific,East Regional,1
2013,Indiana,Temple,Indiana,Temple,East Regional,2
2013,Syracuse,California,Syracuse,California,East Regional,2
2013,Marquette,Butler,Marquette,Butler,East Regional,2
2013,Miami,Illinois,Miami,Illinois,East Regional,2
2013,Indiana,Syracuse,Syracuse,Indiana,East Regional,3
2013,Miami,Marquette,Marquette,Miami,East Regional,3
2013,Marquette,Syracuse,Syracuse,Marquette,East Regional,4
2013,Gonzaga,Southern,Gonzaga,Southern,West Regional,1
2013,Pittsburgh,Wichita State,Wichita State,Pittsburgh,West Regional,1
2013,Wisconsin,Ole Miss,Ole Miss,Wisconsin,West Regional,1
2013,Kansas State,La Salle,La Salle,Kansas State,West Regional,1
2013,Arizona,Belmont,Arizona,Belmont,West Regional,1
2013,New Mexico,Harvard,Harvard,New Mexico,West Regional,1
2013,Notre Dame,Iowa State,Iowa State,Notre Dame,West Regional,1
2013,Ohio State,Iona,Ohio State,Iona,West Regional,1
2013,Gonzaga,Wichita State,Wichita State,Gonzaga,West Regional,2
2013,Ole Miss,La Salle,La Salle,Ole Miss,West Regional,2
2013,Arizona,Harvard,Arizona,Harvard,West Regional,2
2013,Ohio State,Iowa State,Ohio State,Iowa State,West Regional,2
2013,Wichita State,La Salle,Wichita State,La Salle,West Regional,3
2013,Ohio State,Arizona,Ohio State,Arizona,West Regional,3
2013,Ohio State,Wichita State,Wichita State,Ohio State,West Regional,4
2013,Louisville,North Carolina A&T,Louisville,North Carolina A&T,Midwest Regional,1
2013,Colorado State,Missouri,Colorado State,Missouri,Midwest Regional,1
2013,Oklahoma State,Oregon,Oregon,Oklahoma State,Midwest Regional,1
2013,Saint Louis,New Mexico State,Saint Louis,New Mexico State,Midwest Regional,1
2013,Memphis,Saint Mary's,Memphis,Saint Mary's,Midwest Regional,1
2013,Michigan State,Valparaiso,Michigan State,Valparaiso,Midwest Regional,1
2013,Creighton,Cincinnati,Creighton,Cincinnati,Midwest Regional,1
2013,Duke,Albany,Duke,Albany,Midwest Regional,1
2013,Louisville,Colorado State,Louisville,Colorado State,Midwest Regional,2
2013,Saint Louis,Oregon,Oregon,Saint Louis,Midwest Regional,2
2013,Michigan State,Memphis,Michigan State,Memphis,Midwest Regional,2
2013,Duke,Creighton,Duke,Creighton,Midwest Regional,2
2013,Louisville,Oregon,Louisville,Oregon,Midwest Regional,3
2013,Duke,Michigan State,Duke,Michigan State,Midwest Regional,3
2013,Louisville,Duke,Louisville,Duke,Midwest Regional,4
2013,Kansas,Western Kentucky,Kansas,Western Kentucky,South Regional,1
2013,North Carolina,Villanova,North Carolina,Villanova,South Regional,1
2013,VCU,Akron,VCU,Akron,South Regional,1
2013,Michigan,South Dakota State,Michigan,South Dakota State,South Regional,1
2013,UCLA,Minnesota,Minnesota,UCLA,South Regional,1
2013,Florida,Northwestern State,Florida,Northwestern State,South Regional,1
2013,San Diego State,Oklahoma,San Diego State,Oklahoma,South Regional,1
2013,Georgetown,Florida Gulf Coast,Florida Gulf Coast,Georgetown,South Regional,1
2013,Kansas,North Carolina,Kansas,North Carolina,South Regional,2
2013,Michigan,VCU,Michigan,VCU,South Regional,2
2013,Florida,Minnesota,Florida,Minnesota,South Regional,2
2013,San Diego State,Florida Gulf Coast,Florida Gulf Coast,San Diego State,South Regional,2
2013,Kansas,Michigan,Michigan,Kansas,South Regional,3
2013,Florida,Florida Gulf Coast,Florida,Florida Gulf Coast,South Regional,3
2013,Florida,Michigan,Michigan,Florida,South Regional,4
2013,Louisville,Wichita State,Louisville,Wichita State,none,5
2013,Michigan,Syracuse,Michigan,Syracuse,none,5
2013,Louisville,Michigan,Louisville,Michigan,none,6
Midwest Regional,West Regional,South Regional,East Regional
