year,winner,loser
2014,Albany,Mount St. Mary's
2014,NC State,Xavier
2014,Tennessee,Iowa
2014,Cal Poly,Texas Southern
2014,Florida,Albany
2014,Pittsburgh,Colorado
2014,Stephen F. Austin,VCU
2014,UCLA,Tulsa
2014,Dayton,Ohio State
2014,Syracuse,Western Michigan
2014,Stanford,New Mexico
2014,Kansas,Eastern Kentucky
2014,Florida,Pittsburgh
2014,UCLA,Stephen F. Austin
2014,Dayton,Syracuse
2014,Stanford,Kansas
2014,Florida,UCLA
2014,Dayton,Stanford
2014,Florida,Dayton
2014,Arizona,Weber State
2014,Gonzaga,Oklahoma State
2014,North Dakota State,Oklahoma
2014,San Diego State,New Mexico State
2014,Baylor,Nebraska
2014,Creighton,Louisiana
2014,Oregon,Brigham Young
2014,Wisconsin,American University
2014,Arizona,Gonzaga
2014,San Diego State,North Dakota State
2014,Baylor,Creighton
2014,Wisconsin,Oregon
2014,Arizona,San Diego State
2014,Wisconsin,Baylor
2014,Wisconsin,Arizona
2014,Virginia,Coastal Carolina
2014,Memphis,George Washington
2014,Harvard,Cincinnati
2014,Michigan State,Delaware
2014,North Carolina,Providence
2014,Iowa State,North Carolina Central
2014,Connecticut,Saint Joseph's
2014,Villanova,Milwaukee
2014,Virginia,Memphis
2014,Michigan State,Harvard
2014,Iowa State,North Carolina
2014,Connecticut,Villanova
2014,Michigan State,Virginia
2014,Connecticut,Iowa State
2014,Connecticut,Michigan State
2014,Wichita State,Cal Poly
2014,Kentucky,Kansas State
2014,Saint Louis,NC State
2014,Louisville,Manhattan
2014,Tennessee,Massachusetts
2014,Mercer,Duke
2014,Texas,Arizona State
2014,Michigan,Wofford
2014,Kentucky,Wichita State
2014,Louisville,Saint Louis
2014,Tennessee,Mercer
2014,Michigan,Texas
2014,Kentucky,Louisville
2014,Michigan,Tennessee
2014,Kentucky,Michigan
2014,Connecticut,Florida
2014,Kentucky,Wisconsin
2014,Connecticut,Kentucky
