year,team0,team1,winner,loser,region,round
2009,Alabama State,Morehead State,Morehead State,Alabama State,none,0
2009,Louisville,Morehead State,Louisville,Morehead State,Midwest Regional,1
2009,Ohio State,Siena,Siena,Ohio State,Midwest Regional,1
2009,Utah,Arizona,Arizona,Utah,Midwest Regional,1
2009,Wake Forest,Cleveland State,Cleveland State,Wake Forest,Midwest Regional,1
2009,West Virginia,Dayton,Dayton,West Virginia,Midwest Regional,1
2009,Kansas,North Dakota State,Kansas,North Dakota State,Midwest Regional,1
2009,Boston College,USC,USC,Boston College,Midwest Regional,1
2009,Michigan State,Robert Morris,Michigan State,Robert Morris,Midwest Regional,1
2009,Louisville,Siena,Louisville,Siena,Midwest Regional,2
2009,Arizona,Cleveland State,Arizona,Cleveland State,Midwest Regional,2
2009,Kansas,Dayton,Kansas,Dayton,Midwest Regional,2
2009,Michigan State,USC,Michigan State,USC,Midwest Regional,2
2009,Louisville,Arizona,Louisville,Arizona,Midwest Regional,3
2009,Michigan State,Kansas,Michigan State,Kansas,Midwest Regional,3
2009,Louisville,Michigan State,Michigan State,Louisville,Midwest Regional,4
2009,Connecticut,Chattanooga,Connecticut,Chattanooga,West Regional,1
2009,Brigham Young,Texas A&M,Texas A&M,Brigham Young,West Regional,1
2009,Purdue,Northern Iowa,Purdue,Northern Iowa,West Regional,1
2009,Washington,Mississippi State,Washington,Mississippi State,West Regional,1
2009,Marquette,Utah State,Marquette,Utah State,West Regional,1
2009,Missouri,Cornell,Missouri,Cornell,West Regional,1
2009,California,Maryland,Maryland,California,West Regional,1
2009,Memphis,Cal State Northridge,Memphis,Cal State Northridge,West Regional,1
2009,Connecticut,Texas A&M,Connecticut,Texas A&M,West Regional,2
2009,Washington,Purdue,Purdue,Washington,West Regional,2
2009,Missouri,Marquette,Missouri,Marquette,West Regional,2
2009,Memphis,Maryland,Memphis,Maryland,West Regional,2
2009,Connecticut,Purdue,Connecticut,Purdue,West Regional,3
2009,Memphis,Missouri,Missouri,Memphis,West Regional,3
2009,Connecticut,Missouri,Connecticut,Missouri,West Regional,4
2009,Pittsburgh,East Tennessee State,Pittsburgh,East Tennessee State,East Regional,1
2009,Oklahoma State,Tennessee,Oklahoma State,Tennessee,East Regional,1
2009,Florida State,Wisconsin,Wisconsin,Florida State,East Regional,1
2009,Xavier,Portland State,Xavier,Portland State,East Regional,1
2009,UCLA,VCU,UCLA,VCU,East Regional,1
2009,Villanova,American University,Villanova,American University,East Regional,1
2009,Texas,Minnesota,Texas,Minnesota,East Regional,1
2009,Duke,Binghamton,Duke,Binghamton,East Regional,1
2009,Pittsburgh,Oklahoma State,Pittsburgh,Oklahoma State,East Regional,2
2009,Xavier,Wisconsin,Xavier,Wisconsin,East Regional,2
2009,Villanova,UCLA,Villanova,UCLA,East Regional,2
2009,Duke,Texas,Duke,Texas,East Regional,2
2009,Pittsburgh,Xavier,Pittsburgh,Xavier,East Regional,3
2009,Duke,Villanova,Villanova,Duke,East Regional,3
2009,Pittsburgh,Villanova,Villanova,Pittsburgh,East Regional,4
2009,North Carolina,Radford,North Carolina,Radford,South Regional,1
2009,LSU,Butler,LSU,Butler,South Regional,1
2009,Illinois,Western Kentucky,Western Kentucky,Illinois,South Regional,1
2009,Gonzaga,Akron,Gonzaga,Akron,South Regional,1
2009,Arizona State,Temple,Arizona State,Temple,South Regional,1
2009,Syracuse,Stephen F. Austin,Syracuse,Stephen F. Austin,South Regional,1
2009,Clemson,Michigan,Michigan,Clemson,South Regional,1
2009,Oklahoma,Morgan State,Oklahoma,Morgan State,South Regional,1
2009,North Carolina,LSU,North Carolina,LSU,South Regional,2
2009,Gonzaga,Western Kentucky,Gonzaga,Western Kentucky,South Regional,2
2009,Syracuse,Arizona State,Syracuse,Arizona State,South Regional,2
2009,Oklahoma,Michigan,Oklahoma,Michigan,South Regional,2
2009,North Carolina,Gonzaga,North Carolina,Gonzaga,South Regional,3
2009,Oklahoma,Syracuse,Oklahoma,Syracuse,South Regional,3
2009,North Carolina,Oklahoma,North Carolina,Oklahoma,South Regional,4
2009,Connecticut,Michigan State,Michigan State,Connecticut,none,5
2009,North Carolina,Villanova,North Carolina,Villanova,none,5
2009,North Carolina,Michigan State,North Carolina,Michigan State,none,6
West Regional,Midwest Regional,South Regional,East Regional
