year,winner,loser
2005,Oakland,Alabama A&M 
2005,Illinois,Fairleigh Dickinson
2005,Nevada,Texas
2005,Milwaukee,Alabama
2005,Boston College,Pennsylvania 
2005,UAB,LSU
2005,Arizona,Utah State
2005,Southern Illinois,Saint Mary's
2005,Oklahoma State,Southeastern Louisiana
2005,Illinois,Nevada
2005,Milwaukee,Boston College
2005,Arizona,UAB
2005,Oklahoma State,Southern Illinois
2005,Illinois,Milwaukee
2005,Arizona,Oklahoma State
2005,Illinois,Arizona
2005,Washington,Montana
2005,Pacific,Pittsburgh
2005,Georgia Tech,George Washington
2005,Louisville,Louisiana
2005,Texas Tech,UCLA
2005,Gonzaga,Winthrop
2005,West Virginia,Creighton
2005,Wake Forest,Chattanooga
2005,Washington,Pacific
2005,Louisville,Georgia Tech
2005,Texas Tech,Gonzaga
2005,West Virginia,Wake Forest
2005,Louisville,Washington
2005,West Virginia,Texas Tech
2005,Louisville,West Virginia
2005,North Carolina,Oakland
2005,Iowa State,Minnesota
2005,Villanova,New Mexico
2005,Florida,Ohio
2005,Wisconsin,Northern Iowa
2005,Bucknell,Kansas
2005,NC State,Charlotte
2005,Connecticut,UCF
2005,North Carolina,Iowa State
2005,Villanova,Florida
2005,Wisconsin,Bucknell
2005,NC State,Connecticut
2005,North Carolina,Villanova
2005,Wisconsin,NC State
2005,North Carolina,Wisconsin
2005,Duke,Delaware State
2005,Mississippi State,Stanford
2005,Michigan State,Old Dominion
2005,Vermont,Syracuse
2005,Utah,UTEP
2005,Oklahoma,Niagara
2005,Cincinnati,Iowa
2005,Kentucky,Eastern Kentucky
2005,Duke,Mississippi State
2005,Michigan State,Vermont
2005,Utah,Oklahoma
2005,Kentucky,Cincinnati
2005,Michigan State,Duke
2005,Kentucky,Utah
2005,Michigan State,Kentucky
2005,Illinois,Louisville
2005,North Carolina,Michigan State
2005,North Carolina,Illinois
